,maximum,minimum
R432,0.000134,0.000134
R433,0.000134,0.000134
R434,0.000131,0.000131
R435,0.000131,0.000131
R436,-0.0,0.0
R437,0.000131,0.000131
R438,0.000131,0.000131
R439,0.000131,0.000131
R44,3.570789,1.570789
R440,2e-06,2e-06
R441,2e-06,2e-06
R442,2e-06,2e-06
R443,2e-06,2e-06
R444,2e-06,2e-06
R445,2e-06,2e-06
R446,2e-06,2e-06
R447,2e-06,2e-06
R448,2e-06,2e-06
R449,2e-06,2e-06
R45,6.564919,4.564919
R450,2e-06,2e-06
R451,2e-06,2e-06
R452,2e-06,2e-06
R453,2e-06,2e-06
R454,2e-06,2e-06
R455,2e-06,2e-06
R456,2e-06,2e-06
R457,2e-06,2e-06
R458,-2e-06,-2e-06
R459,-2e-06,-2e-06
R46,8.071719,8.071719
R460,-0.0,0.0
R461,0.0,0.0
R462,0.0,0.0
R463,0.0,0.0
R464,0.0,0.0
R465,0.0,0.0
R466,0.003842,0.003842
R467,0.003842,0.003842
R468,0.003842,0.003842
R469,0.003842,0.003842
R470,0.003842,0.003842
R471,0.003842,0.003842
R472,0.003842,0.003842
R473,0.003842,0.003842
R474,-0.0,0.0
R475,-0.0,0.0
R476,-0.0,0.0
R477,-0.0,0.0
R478,-0.0,0.0
R479,-0.0,0.0
R48,8.071719,8.071719
R480,-0.0,0.0
R481,-0.0,0.0
R482,-0.0,0.0
R483,-0.0,0.0
R484,0.0,0.0
R484b,0.0,0.0
R485,0.0,0.0
R486,7.9e-05,7.9e-05
R487,0.0,0.0
R488,0.0,0.0
R489,0.0,0.0
R49,8.071719,8.071719
R490,0.0,0.0
R491,0.0,0.0
R492,0.0,0.0
R493,0.0,0.0
R494,0.0,0.0
R495,0.048972,0.048972
R496,7.9e-05,7.9e-05
R497,-0.0,0.0
R497b,7.9e-05,7.9e-05
R498,-0.0,0.0
R499,-0.0,0.0
R5,-0.0,0.0
R50,8.071719,8.071719
R500,-0.0,0.0
R501,-0.0,0.0
R502,-0.0,0.0
R503,-0.0,0.0
R504,-0.0,0.0
R505,-0.0,0.0
R506,-0.0,0.0
R507,-0.0,0.0
R508,0.003119,0.003119
R509,-0.0,0.0
R51,6.500218,0.0
R510,-0.0,0.0
R511,-0.009861,-0.009861
R512,-0.0,0.0
R513,-0.0,0.0
R514,-0.0,0.0
R515,-0.0,0.0
R516,-0.0,0.0
R517,-0.0,0.0
R518,-0.0,0.0
R519,-0.0,0.0
R52,0.679208,0.679208
R520,-0.0,0.0
R521,-0.0,0.0
R522,-0.0,0.0
R53,0.679208,0.679208
R533,-0.0,0.0
R534,-0.0,0.0
R535,-0.0,0.0
R536,-0.0,0.0
R537,-0.0,0.0
R538,-0.0,0.0
R539,-0.0,0.0
R54,0.679208,0.679208
R540,-0.0,0.0
R541,0.323483,0.323483
R542,0.146834,0.146834
R543,0.161741,0.161741
R544,0.161741,0.161741
R545,0.161741,0.161741
R546,-0.0,0.0
R547,0.161741,0.161741
R548,0.161741,0.161741
R549,0.161741,0.161741
R55,-0.0,0.0
R550,-0.0,0.0
R551,0.161741,0.161741
R552,-0.0,0.0
R553,0.004335,0.004335
R554,0.011789,0.011789
R555,0.011789,0.011789
R556,0.016124,0.016124
R557,0.023578,0.023578
R558,0.028625,0.028625
R559,0.028625,0.028625
R56,1.0,0.217665
R560,0.028625,0.028625
R561,0.028625,0.028625
R562,0.028625,0.028625
R563,0.028625,0.028625
R564,0.028625,0.028625
R565,0.007454,0.007454
R566,-0.0,0.0
R567,-0.0,0.0
R568,-0.0,0.0
R569,-0.0,0.0
R57,1.0,0.217665
R570,-0.0,0.0
R571,0.002436,0.002436
R571b,-1.394323,-1.394323
R572,1.617414,1.617414
R573,-0.0,0.0
R574,-0.0,0.0
R575,0.007454,0.007454
R576,0.007454,0.007454
R577,0.014908,0.014908
R578,0.014908,0.014908
R579,0.014908,0.014908
R58,1.0,0.217665
R580,0.014908,0.014908
R581,0.014908,0.014908
R582,0.014908,0.014908
R583,0.003405,0.003405
R587,0.003405,0.003405
R588,0.000969,0.000969
R589,0.000969,0.000969
R590,-0.0,0.0
R591,-0.99413,-3.99413
R592,0.0,0.0
R593,0.0,0.0
R594,0.002465,0.002465
R595,0.002465,0.002465
R596,0.002465,0.002465
R597,0.002465,0.002465
R598,0.002465,0.002465
R599,0.000431,0.000431
R6,-0.0,0.0
R600,0.0,0.0
R601,0.0,0.0
R602,0.002035,0.002035
R603,0.000743,0.000743
R604,0.000313,0.000313
R605,0.0,0.0
R606,0.001292,0.001292
R607,0.001292,0.001292
R608,0.001292,0.001292
R609,0.0,0.0
R61,0.469401,0.0
R610,0.001292,0.001292
R611,0.001292,0.001292
R612,0.000861,0.000861
R613,0.000861,0.000861
R614,0.000431,0.000431
R615,0.0,0.0
R616,0.0,0.0
R617,0.0,0.0
R618,0.048972,0.048972
R619,0.0,0.0
R620,0.003119,0.003119
R621,0.003119,0.003119
R622,0.003119,0.003119
R623,0.003119,0.003119
