,maximum,minimum
R52C2A66F,99999.0,0.00011
R52C3B11E,0.0,-99999.0
R52DA2DF9,99999.0,-99999.0
R52E2E7B0,99999.0,0.0
R5318D40C,0.0,0.0
R531C1A60,0.0,0.0
R535DB6A7,99999.0,0.0
R53613334,0.0,0.0
R5365F615,99999.0,-99999.0
R537685E3,99999.0,0.0
R5393BB52,99999.0,0.0
R53B07257,0.0,0.0
R53B7B019,99999.0,0.0
R53E1DBD6,99999.0,0.0
R540C6D06,0.0,0.0
R54100FB8,99999.0,-99999.0
R54367C9,0.0,-99999.0
R543D9FD7,99999.0,-99999.0
R54C89446,99999.0,0.0
R54D93812,99999.0,0.0
R54E92E9C,99986.3827,0.0
R54EC72A7,99999.0,0.0
R54FA5172,99999.0,0.0
R54FD492C,0.0,-99999.0
R5547336,99999.0,-99999.0
R555233E0,99999.0,0.0
R555722AC,99999.0,0.0
R55CA7A11,99999.0,0.0
R55D14C1A,0.0,0.0
R55DD5134,19444.25,0.0
R55E4488F,99999.0,0.0
R55FADCD9,99999.0,0.0
R561F80ED,99999.0,-99999.0
R562E14E9,99999.0,0.0
R5660F446,99999.0,-99999.0
R567AED07,0.0,-99999.0
R56B79651,-0.0,0.0
R56B8EA27,0.0,0.0
R56C031C8,99999.0,0.487
R56F0FC36,99999.0,0.0
R56F88A37,99999.0,-99999.0
R5714A26,99999.0,-99999.0
R57907AF8,99999.0,0.0
R57978E1E,0.0,0.0
R579A07C2,99999.0,0.0
R57B04A9F,0.0,0.0
R57BA5ADC,99999.0,-99999.0
R57BBA729,99999.0,-99999.0
R57F1CE3F,0.0,-99999.0
R580F11A7,99999.0,-99999.0
R5827E5B4,0.0,-99999.0
R583AE90A,0.0,0.0
R58544500,99999.0,-99999.0
R585B833,99999.0,0.00022
R58BC542B,99999.0,0.0
R58C5545F,0.0,0.0
R58DAD01C,99999.0,-99999.0
R58F0AEB9,99999.0,0.0
R58F70DFE,99999.0,0.0
R591DFD2B,99999.0,0.0
R592FE2CD,0.0,0.0
R593B0EA1,99999.0,-99999.0
R59428730,99999.0,-99999.0
R595F1E26,99999.0,-99999.0
R596FDB0E,99986.3827,-99999.0
R59843F00,99999.0,0.0
R59B666BE,0.0,0.0
R59C2679F,99999.0,0.0
R59C8F147,99999.0,0.0
R5A0D97AD,99999.0,0.0
R5A322583,0.0,0.0
R5A45FFBD,99999.0,-99999.0
R5A65F96F,99999.0,-99999.0
R5A89DB46,99999.0,0.0
R5A9499F9,83332.5,0.0
R5AAC9FA2,0.0,0.0
R5ABC8BA7,0.0,0.0
R5AD3E853,99999.0,0.0
R5AD977E9,99999.0,-99999.0
R5AE776FD,-0.0,0.0
R5AEAEBFC,0.0,0.0
R5B09D07F,99999.0,0.0
R5B1073F3,99999.0,0.0
R5B1F0EC3,0.0,-99999.0
R5B46B611,0.0,0.0
R5B5E429E,99999.0,0.0
R5B628301,99999.0,-99999.0
R5B676119,0.0,0.0
R5B8D4B5D,99999.0,0.0
R5B92E7BD,99999.0,0.0
R5BD7AEF3,0.0,-99999.0
R5C2F31DB,99999.0,-99999.0
R5C3569DA,99999.0,0.0
R5C6D603,0.0,0.0
R5C74711F,0.0,0.0
R5CA28D78,99999.0,-99999.0
R5CD85618,99999.0,-99999.0
R5CDC9971,59999.4,0.0
R5D0422A3,99999.0,0.0
R5D0554E3,99999.0,-99999.0
R5D0D22AA,99999.0,-99999.0
R5D5E0CE0,99986.3827,0.0
R5D8EB109,99998.99989,0.0
R5D9B2D85,99999.0,-99991.67201
R5DB55A60,99999.0,0.0
R5DC2DBC2,99999.0,0.0
R5DF35FE1,99999.0,12.6173
R5E1DF4D0,0.0,-99999.0
R5E505AA0,99999.0,-99999.0
R5E73D729,99999.0,0.0
R5E89246A,99999.0,0.0
R5EC42F7F,0.0,0.0
R5EDF42A7,99999.0,-99999.0
R5EEA7D02,99999.0,0.0
R5EF6D85D,0.0,-99999.0
R5F01904,99999.0,0.0
R5F46211E,99999.0,-99999.0
R5F4CEC96,83330.01,-99999.0
R5F70496F,99999.0,0.0
R5F80C569,99999.0,-99999.0
R5FABB6F3,99999.0,0.0
R5FC7EEB3,99999.0,-99999.0
R5FE5D134,99999.0,0.0
R5FECAFF8,0.0,0.0
R600419A5,99999.0,-99989.584973
R6037EAE3,0.0,-99999.0
R605570A6,99999.0,-99999.0
R60A568AA,0.0,-99986.3827
R60A8002E,99999.0,-99999.0
R60B0BE3,99999.0,-99999.0
R60BDDC36,0.0,-99986.3827
R6128505,99999.0,-99999.0
R613708BA,99999.0,-99999.0
R61E25419,99999.0,-99999.0
R61E6155B,99999.0,0.0
R61F758D6,0.0,0.0
R61F917A1,99999.0,0.0
R62002EA1,0.0,-99986.3827
R62015417,0.0,-99986.3827
R620ACAAC,0.0,-16666.5
R620BCCB2,99999.0,0.0
R624F16AE,99999.0,-99999.0
R625DC447,99999.0,0.0
R62A6333,99999.0,0.0
R62AD50F5,99999.0,0.0
R62D2A1AD,99999.0,0.0
R62D798FF,0.0,-59999.4
R62F61D9C,99999.0,0.0
R62F7A444,99999.0,0.0
R6306A036,0.0,-99986.3827
R632A298A,-0.0,-99999.0
R632E2636,99999.0,0.0
R635225C8,99999.0,0.0
R6372837B,99999.0,0.0
R63816F84,99999.0,-99999.0
R6398F655,99999.0,-99999.0
R63B5848B,99999.0,-99999.0
R64438A0B,0.0,0.0
R644E6439,99999.0,-99999.0
R647E080A,99999.0,0.0
R64824B5,99999.0,0.0
R648502DA,99999.0,-99999.0
R64C1961F,99999.0,0.0
R64CC9561,0.0,0.0
R64DE2DE5,99999.0,0.0
R65404FB9,99999.0,-99999.0
R65538753,99999.0,0.0
R655FBF47,99999.0,0.0
R65739442,99999.0,0.0
R65796506,99999.0,-99999.0
R65A6A880,99999.0,0.0
R65C7C1D7,99999.0,0.0
R65FF6D72,99999.0,-99999.0
R66120112,99986.3827,0.0
R661E3BB4,0.0,0.0
R66288949,99999.0,-99999.0
R662A9024,0.0,0.0
R666FCFCF,99999.0,0.0
R6681323C,99999.0,0.0
R669A7661,99999.0,0.0
R66A20DE6,0.0,0.0
R66AD227F,99999.0,0.0
R66B496F5,99999.0,0.0
R6716F9D5,-0.00011,-0.00011
R672BCFA8,0.0,0.0
R673D38FA,0.0,0.0
R6746D1B1,0.0,0.0
R675ED909,99999.0,-99999.0
R676FCCDC,0.0,0.0
R6779EAE4,0.0,-99999.0
R677F49CA,99999.0,0.0
R6781D0AE,99999.0,0.0
R678F25BA,99999.0,0.0
R67BB7DDB,99999.0,0.0
R67D58F05,99999.0,-99999.0
R681F9677,0.0,-99999.0
R6828AD40,99999.0,0.0
R6839BAC5,99999.0,-99999.0
R6841DF0E,99999.0,0.0
R6847F716,99999.0,-99999.0
R687E25C4,99999.0,0.0
R68DD7B6A,99999.0,0.0
R68EEB334,99999.0,-99999.0
R68FD88A,99994.292468,-99999.0
R69109752,99999.0,-99999.0
R6922C0AF,99999.0,-99999.0
R6928DC17,99999.0,-99999.0
R6933A465,99999.0,-99999.0
R696BDE09,99999.0,-99999.0
R6971D1B0,99999.0,0.0
R697F96D9,99999.0,0.0
R69E6734F,99999.0,-99999.0
R69EB6649,99986.3827,0.0
R6A169D45,99999.0,0.0
R6A225F9F,0.0,0.0
R6A437C11,99999.0,0.0
R6AB612DB,99999.0,0.0
R6AE47DAD,99999.0,-99999.0
R6AEDB79A,99999.0,0.0
R6B0ADC7D,99999.0,0.0
R6B3002E7,99998.513,0.0
R6B35623D,99999.0,-99999.0
R6B410925,99999.0,-99999.0
R6B50E9D9,0.0,0.0
R6B776E30,33328.794343,0.00011
R6B861E69,99999.0,-99999.0
R6B9BE19D,99999.0,0.0
R6BB5185B,99999.0,0.0
R6BDDA5EE,99999.0,0.0
R6BF2F5FD,99999.0,-99999.0
R6BFC3A2D,99996.37,0.0
R6C4B6845,99991.67201,-99999.0
R6CC487E4,99999.0,0.0
R6D060251,99999.0,0.0
R6D22F61B,99999.0,0.0
R6D325FDD,0.0,0.0
R6DADBDED,99999.0,0.0
R6DE9F04B,0.0,-99999.0
R6EA46EE9,0.0,-99999.0
R6ECA2A5D,99999.0,0.0
R6EF38510,99999.0,-99999.0
R6F33EFBB,0.0,0.0
R6F3BF241,0.0,0.0
R6F6150A9,99999.0,0.0
R6F7F8BC1,99999.0,0.0
R6F82338F,99999.0,0.0
R6F8DFDA3,99999.0,0.0
R6F942B72,99998.999945,0.0
R6FF0E8E8,99999.0,-99999.0
R70032310,99999.0,0.0
R702929B9,0.0,0.0
R7077E643,99999.0,-99999.0
R7078E64E,99999.0,0.0
R70ADAFAA,99999.0,-83330.01
R70B2DE51,99999.0,0.0
