,minimum,maximum
rxn00214_REV,0.0,1000.0
rxn03135,0.083919,9.534821
rxn13877,0.0,1000.0
rxn13877_REV,0.0,1000.0
rxn13913,0.0,1000.0
rxn13913_REV,0.0,1000.0
rxn00980,0.0,0.0
rxn01639,0.0,9.450902
rxn10174,0.0,0.0
rxn05158,0.0,1000.0
rxn05158_REV,0.0,1000.0
rxn05147,-0.0,10.0
rxn00299,0.000104,0.000104
rxn05552,0.0,0.0
rxn05585,0.0,0.0
rxn05621,0.0,0.0
rxn05620,0.0,0.0
rxn05656,0.0,0.0
rxn08900,0.0,39.636355
rJB00262,0.0,39.636355
rxn05215,0.0,1000.0
rxn05215_REV,0.0,1000.0
rxn01834,0.0,1000.0
rxn01834_REV,0.0,1000.0
rxn01019,0.295181,23.805254
rxn13805,0.0,1000.0
rxn13805_REV,0.0,1000.0
rxn13807,0.0,1000.0
rxn13807_REV,0.0,1000.0
rxn13806,0.0,1000.0
rxn13806_REV,0.0,1000.0
rJB00225,0.0,997.409744
rxn05560,0.0,1000.0
rxn05560_REV,0.0,1000.0
rxn00615,0.0,1000.0
rxn00615_REV,0.0,1000.0
rxn00533,0.0,1000.0
rxn00533_REV,0.0,1000.0
rxn05332,0.0,1000.0
rxn05332_REV,0.0,1000.0
rxn05335,0.0,1000.0
rxn05335_REV,0.0,1000.0
rxn05373,0.0,1000.0
rxn05373_REV,0.0,1000.0
rxn05423,0.0,1000.0
rxn05423_REV,0.0,1000.0
rxn05398,0.0,1000.0
rxn05398_REV,0.0,1000.0
rxn05377,0.0,1000.0
rxn05377_REV,0.0,1000.0
rxn05427,0.0,1000.0
rxn05427_REV,0.0,1000.0
rxn05402,0.0,1000.0
rxn05402_REV,0.0,1000.0
rxn05381,0.0,1000.0
rxn05381_REV,0.0,1000.0
rxn05431,0.0,1000.0
rxn05431_REV,0.0,1000.0
rxn05406,0.0,1000.0
rxn05406_REV,0.0,1000.0
rxn07980,0.223463,1000.0
rxn07980_REV,0.0,999.776537
rxn05361,0.0,1000.0
rxn05361_REV,0.0,1000.0
rxn05411,0.0,1000.0
rxn05411_REV,0.0,1000.0
rxn05386,0.0,1000.0
rxn05386_REV,0.0,1000.0
rxn05415,0.0,1000.0
rxn05415_REV,0.0,1000.0
rxn05365,0.0,1000.0
rxn05365_REV,0.0,1000.0
rxn05390,0.0,1000.0
rxn05390_REV,0.0,1000.0
rxn05369,0.0,1000.0
rxn05369_REV,0.0,1000.0
rxn05419,0.0,1000.0
rxn05419_REV,0.0,1000.0
rxn05394,0.0,1000.0
rxn05394_REV,0.0,1000.0
rxn05462,0.0,1000.0
rxn05462_REV,0.0,1000.0
rxn08309,0.078879,1000.0
rxn08309_REV,0.0,999.921121
rPY00163,0.004457,0.004457
rPY00168,0.008834,0.008834
rxn05528,0.0,1000.0
rxn05485,0.0,1000.0
rxn05485_REV,0.0,1000.0
rxn05626,0.0,1000.0
rxn05626_REV,0.0,1000.0
rxn05209,0.0,1000.0
rxn05209_REV,0.0,1000.0
rxn05582,0.0,1000.0
rxn05582_REV,0.0,1000.0
rxn05172,0.0,0.0
rxn00539,0.0,0.0
rxn00300,0.0,-0.0
rxn00048,0.0,0.0
rJB00234,0.0,1000.0
rJB00234_REV,0.0,1000.0
rxn12591,0.0,1000.0
rxn12591_REV,0.0,1000.0
rxn06280,0.0,0.0
rxn05190,0.0,0.0
rxn13836,0.0,1000.0
rxn13836_REV,0.0,1000.0
rxn13823,0.0,1000.0
rxn13823_REV,0.0,1000.0
rxn13801,0.0,1000.0
rxn13801_REV,0.0,1000.0
rxn00006,0.0,0.0
rxn00691,0.0,12.734913
rxn00148,0.0,1000.0
rxn00148_REV,0.0,1000.0
rxn00206,0.0,0.0
rxn02305,0.0,1000.0
rxn02305_REV,0.0,1000.0
rxn13689,0.0,1000.0
rxn13689_REV,0.0,1000.0
rJB00271,0.0,1000.0
rJB00271_REV,0.0,1000.0
rxn09240,0.125829,1000.0
rxn09240_REV,0.0,999.874171
rxn02320,0.0,999.916081
rxn02320_REV,0.083919,1000.0
rxn05174,0.0,1000.0
rxn05533,0.0,0.0
rxn05540,0.0,0.0
rxn05541,0.0,0.0
rxn05542,0.0,0.0
rxn05543,0.0,0.0
rxn05544,0.0,0.0
rxn05545,0.0,0.0
rxn05539,0.0,0.0
rxn05546,0.0,0.0
rxn05537,0.0,0.0
rxn05547,0.0,0.0
rxn05534,0.0,0.0
rxn05535,0.0,0.0
rxn05538,0.0,0.0
rxn05536,0.0,0.0
rxn12848,0.0,0.0
rxn12849,0.0,0.0
rxn12850,0.0,0.0
rxn12851,0.0,0.0
rxn13792,0.0,19.818178
rxn13793,0.0,0.0
rxn00470,0.0,12.345285
rxn00711,0.0,0.0
rxn08043,0.161397,0.161397
rxn00003,0.0,999.250915
rxn00003_REV,0.749085,1000.0
